kodetoko,namatoko
KA33,TEBET TIMUR RAYA [TBTR]
KA52,KEMENANGAN III - 2 [KN32]
KA60,BANDENGAN SELATAN 2 [BSE2]
KB04,DURI SELATAN 2 [DIS2]
KB08,STA. KOTA [STAK]
KB12,MAKALIWE 2/F [MKLW]
KB13,KS. TUBUN [KTBU]
KB15,GREEN VILLE 3 [GRV3]
KB18,KEMANGGISAN 6 [KMG6]
KB22,PALMERAH BARAT 2 [PLB2]
KB25,GAJAH MADA 3 [GJM3]
KB26,KEDOYA RAYA 3 [KDR3]
KB32,KEDOYA GREEN GARDEN [KDGG]
KB47,GAJAH MADA 4 [GJM4]
KB66,REST AREA KM 14 [REST]
KB71,PERJUANGAN KBN JRK 2 [PERJ]
KB76,BUDHI RAYA [BDIR]
KB78,MANGGA BESAR 6 [MABS]
KB84,KOTA BAMBU SELATAN [KOBS]
KB86,CENTRAL PARK [CRPK]
KB87,APT KEDOYA[APKY]
KB91,MABES D LAPAN [MBDN]
KB92,JL. HADIAH [JLHD]
KB93,TANJUNG DUREN TIMUR [TJDT]
KB94,PANJANG GREEN GARDEN [PAGG]
KB97,ASEM BARIS 3 [ASBR]
KB98,LATUMETEN 3 [LAT3]
KC03,TAMAN RATU [TMNR]
KC04,TANJUNG DUREN 3 [TJDN]
KC07,SAWAH LIO 3 [SWHL]
KC16,ASEM BARIS 2 [ASMB]
KC20,DAAN MOGOT GROGOL [DNMG]
KC21,KUNCIRAN TABA [KCTB]
KC26,KUNCIRAN GEMPOL [KCGP]
KC33,PILAR RAYA [PIRY]
KC36,BATUSARI KEMANGGISAN [BSKG]
KC45,JELAMBAR UTAMA SAKTI [JBUS]
KC49,APARTEMENT METROPARK [APMK]
KC54,STA. CIKINI [STAC]
KC62,STA. JUANDA [STJD]
KC66,STA. SENEN 2 [STAS]
KC69,INDUSTRI [INDS]
KC73,KOTA BARU [KTAB]
KC74,KH. MAS MANSYUR [KHMM]
KC75,SUTAN SYAHRIR [SUSY]
KC76,KRAMAT SENTIONG 3 [KTSG]
KC78,STA. PALMERAH [STAP]
KC79,STA.KARET [STKT]
KC80,SALEMBA TENGAH 3 [SATH]
KC83,MENTENG WADAS 12/F [MENT]
KC84,TAMAN KEDOYA ELOK [TMKE]
KC85,KEBON RAYA 2 [KORY]
KC90,DAAN MOGOT KM 11 [DAMT]
KC94,KAMBOJA/F [KAMB]
KC97,MUWARDI/F [MUWA]
KD01,PINTU BESAR [PINT]
KD02,JUANDA 2 [JDA2]
KD03,SABANG [SABG]
KD06,PASAR BARU [PABR]
KD07,AIPDA KS TUBUN [AIPD]
KD09,GURU MUGNI 2 [GURU]
KD10,SETIABUDI BARAT [SETB]
KD11,RATU MELATI [RAML]
KD13,STA-KOTA 3 [STA3]
KD16,SWADAYA [SWDA]
KD17,KEMANGGISAN 7 [KMG7]
KD19,KRAMAT PULO 4 [KRAP]
KD20,IMAM MAHBUD [IMAM]
KD21,SURYOPRANOTO [SRYO]
KD23,GROGOL PERMAI [GRLI]
KD25,KARTINI [ARNI]
KD26,PEKAPURAN/F [PEKR]
KD30,ARTERI KELAPA DUA [ARTE]
KD31,KEMBANG RAYA 2 [KEBG]
KD32,BEK MURAD [BEKM]
KD33,JATI BARU [JABR]
KD36,TEBET BARAT [TEBE]
KD38,LATUMENTEN 11 [LATN]
KD39,SAHID SUDIRMAN [SAHD]
KD40,MANGGA DUA DALAM [MADD]
KD41,DURI UTARA 2 [DUUT]
KD43,SAWAH LUNTO [SATO]
KD44,HIDUP BARU [HIRU]
KD46,KRAMAT RAYA [KRRA]
KD49,PERJUANGAN KBN JERUK [PNKJ]
KD50,MUSI 2 [MUSI]
KD51,JEMBATAN LIMA 6 [JLMA]
KD54,SALAM RAYA [SALR]
KD55,STA-TANAH ABANG [STTH]
KD56,KARANG ANYAR 2 [KANY]
KD57,MANGGA BESAR I [MABR]
KD58,MINANGKABAU [MING]
KD63,TANAH SEREAL 2 [TASE]
KD64,MRT BUNDERAN HI [MRTB]
KD65,UNTAR 1 [UNTA]
KD66,STA-PALMERAH 2 [STPM]
KD67,STA-KEBAYORAN LAMA [STKE]
KD69,PANGERAN JAYAKARTA 4 [PAJT]
KD70,GAMA TOWER/F [GATR]
KD71,PANJANG CIDODOL 10 [PJCL]
KD72,TAMAN RATU INDAH [TRIN]
KD73,PERJUANGAN KBN JRK 3 [PJKK]
KD74,THALIB [TALB]
KD76,HAJI TOHIR [HATI]
KD78,X TAMAN S PARMAN [XTSP]
KD79,BUNI [BUNI]
KD80,PLAZA KENARI MAS [PLKM]
KD82,MANGGA 2 DALAM 2 [M2D2]
KD84,SAHID SUDIRMAN RSD [SSRD]
KD86,RUKO PERMATA ANCOL [RPAL]
KD87,KYAI CARINGIN [KACA]
KD89,GG MACAN 2 [GGM2]
KD90,TEBET UTARA DALAM [TUDA]
KD91,HARCO MANGGA 2 N 3 [HM23]
KD92,DR SATRIO [DRSR]
KD93,TANJUNG DUREN 462 [TADU]
KD94,BATU TULIS RAYA [BUTY]
KD99,GEDUNG SINERGI 8 [GGS8]
KE03,KALIBARU TIMUR 7 [KITU]
KE06,DR SUSILO RAYA [DSRA]
KE08,KEBON JERUK XIV [KEJE]
KE09,PANJANG KEBON JRK 3 [PGKJ]
KE11,MURIA TANJAKAN 6 [MIKA]
KE12,RUKO SEASON CITY [RUSI]
KE13,KEMANGGISAN PULO [KEPU]
KE16,MANGGA 17 [MA17]
KE17,FAHRUDIN 41 [FR41]
KE18,SENI BUDAYA II [SEDA]
KE19,KENDAL 24 [KL24]
KE20,BANDENGAN UTARA/F [BNUR]
KE21,MESJID AL ANWAR [MEAL]
KE22,BONA INDAH [BAIN]
KE23,STA DURI [STUR]
KE24,SALEMBA BLUNTAS 76 [SELU]
KE28,ISA [ISA]
KE29,LONTAR [LONT]
KE30,MENTENG ATS SLATAN 3 [MESA]
KE31,PEJOMPONGAN 3 [PEPO]
KE33,MERPATI RAYA 3 [MTR3]
KE34,DWI WARNA 3 [DIWA]
KE35,LAUTZE 75 [LA75]
KE36,BRIGJEN KATAMSO 22 [BIKA]
KE37,KALIBARU TIMUR RAYA [KITA]
KE38,X JUANDA CIPUTAT [JUCI]
KE39,ANGGREK CENDRAWSH 50 [ANCE]
KE40,KEPU SELATAN [KESE]
KE41,PTB ANGKE JAYA 6 [PBAJ]
KE42,KEMANDORAN VIII [KEVI]
KE44,KRAMAT LONTAR [MALO]
KE45,ANGGREK CAKRA 19 [ANCA]
KE46,ANDONG 33 [AN33]
KE48,OB GEDUNG WIRAUSAHA [OBGW]
KE49,BUNGUR RAYA KMY [BUAK]
KE50,KH MOH MANSYUR /F [KHMO]
KE51,PADEMANGAN 18 [PA18]
KE52,BUKIT DURI TANJAKAN [BIIT]
KE53,MANGGA BESAR TMNSARI [MBTA]
KE54,LATUMENTEN ANGKE [LAAN]
KE55,ANGGREK NELLY MURNI [ANNI]
KE56,KOTA BAMBU [KBBU]
KE57,ASEM BARIS/F [AMBS]
KE58,APARTEMEN SIGNATURE [ANSI]
KE59,KEBAYORAN LAMA 2/F [KLM2]
KE60,KARYA 12 [KAR1]
KE61,MUWARDI RAYA [MUYA]
KE62,JEMBATAN BESI 44 [JABI]
KE63,JATIBARU 64 [JIBU]
KE64,PRAMUKA 391 [P391]
KE65,GUNUNG SAHARI RAYA [GUSY]
KE66,PEJAGALAN I [PELA]
KE67,PALMERAH BARAT 50 [PB50]
KE68,SAMANHUDI RAYA [SAAY]
KE69,KEMANDORAN PULO 1 [KEP1]
KE71,PALMERAH [PLMH]
KE72,PALMERAH UTARA [PLRU]
KE74,BUKIT DURI UTARA [BIDU]
KE75,JELAMBAR HADIAH 2 [JEH2]
KE76,JEMBATAN GAMBANG 25 [JG25]
KE77,BARKAH 2 [BAR2]
KE78,SALEMBA TENGAH 21 [ST21]
KE79,JEMBATAN BESI VIII [JESI]
KE80,ASEM BARIS 9 [ABA9]
KE81,JELAMBAR BARU VIII [JEBU]
KE82,BTN. GUNUNG KIJANG [BUKI]
